2013.02.14;04:00;1.34518;1.34542;1.34296;1.34327;4439
2013.02.14;08:00;1.34322;1.34409;1.33626;1.33626;14038
2013.02.14;12:00;1.33621;1.33624;1.33147;1.3332;17506
2013.02.14;16:00;1.3331;1.3351;1.3319;1.334;20949
2013.02.14;20:00;1.3339;1.3363;1.3335;1.3361;8968
2013.02.15;00:00;1.3362;1.3373;1.3346;1.3351;7799
2013.02.15;04:00;1.335;1.3368;1.3347;1.3355;3884
2013.02.15;08:00;1.3356;1.3393;1.331;1.3328;9198
2013.02.15;12:00;1.3327;1.3368;1.3305;1.3359;9709
2013.02.15;16:00;1.3358;1.3376;1.3343;1.3353;7864
2013.02.15;20:00;1.3354;1.3364;1.3351;1.3361;2289
2013.02.18;00:00;1.3349;1.3358;1.333;1.3334;3638
2013.02.18;04:00;1.3333;1.3341;1.3324;1.334;2261
2013.02.18;08:00;1.3341;1.3379;1.332;1.3349;7181
2013.02.18;12:00;1.335;1.3365;1.3338;1.3361;4942
2013.02.18;16:00;1.3362;1.3363;1.3331;1.3352;4621
2013.02.18;20:00;1.3353;1.3354;1.3347;1.335;4125
2013.02.19;00:00;1.3349;1.3365;1.3338;1.3346;5959
2013.02.19;04:00;1.3347;1.3356;1.334;1.3352;7172
2013.02.19;08:00;1.3353;1.3363;1.3333;1.3343;16082
2013.02.19;12:00;1.3344;1.3373;1.3328;1.3345;17503
2013.02.19;16:00;1.3346;1.3394;1.3344;1.3386;19537
2013.02.19;20:00;1.3387;1.3396;1.3381;1.3388;9178
2013.02.20;00:00;1.3387;1.3434;1.3381;1.3421;10220
2013.02.20;04:00;1.3413;1.3417;1.3405;1.3414;2107
2013.02.20;08:00;1.3413;1.3432;1.3407;1.3418;17178
2013.02.20;12:00;1.3419;1.3421;1.3361;1.3378;20405
2013.02.20;16:00;1.3379;1.3396;1.3337;1.3344;21536
2013.02.20;20:00;1.3343;1.3357;1.3271;1.3282;11995
2013.02.21;00:00;1.3279;1.329;1.327;1.3277;5237
2013.02.21;04:00;1.3276;1.3282;1.3234;1.3239;11594
2013.02.21;08:00;1.324;1.3276;1.3176;1.3199;27335
2013.02.21;12:00;1.3198;1.3203;1.3166;1.3193;23927
2013.02.21;16:00;1.3192;1.3231;1.3187;1.3199;26636
2013.02.21;20:00;1.32;1.3201;1.316;1.319;14339
2013.02.22;00:00;1.3188;1.3197;1.3182;1.3192;10555
2013.02.22;04:00;1.3191;1.3219;1.3191;1.3209;7416
2013.02.22;08:00;1.321;1.3245;1.32;1.3219;12116
2013.02.22;12:00;1.3218;1.3224;1.3156;1.3181;15673
2013.02.22;16:00;1.3182;1.3191;1.3144;1.319;13360
2013.02.22;20:00;1.3191;1.3191;1.3175;1.3187;4332
2013.02.25;00:00;1.3216;1.3217;1.318;1.3183;6719
2013.02.25;04:00;1.3182;1.3203;1.318;1.3199;3571
2013.02.25;08:00;1.3198;1.3249;1.3197;1.3237;12878
2013.02.25;12:00;1.3238;1.3318;1.3234;1.3289;15174
2013.02.25;16:00;1.3288;1.3315;1.3158;1.3192;23476
2013.02.25;20:00;1.3193;1.3193;1.3046;1.3062;27443
2013.02.26;00:00;1.3063;1.3089;1.3051;1.3086;15823
2013.02.26;04:00;1.3087;1.3088;1.3037;1.306;13507
2013.02.26;08:00;1.3059;1.3119;1.3017;1.3116;31533
2013.02.26;12:00;1.3114;1.3117;1.3051;1.3073;24764
2013.02.26;16:00;1.3074;1.3121;1.3036;1.3052;31464
2013.02.26;20:00;1.3051;1.3067;1.3042;1.306;8677
2013.02.27;00:00;1.3062;1.3069;1.304;1.3046;7564
2013.02.27;04:00;1.3047;1.3074;1.3041;1.3069;6396
2013.02.27;08:00;1.3068;1.3095;1.3061;1.3083;15088
2013.02.27;12:00;1.3084;1.3122;1.3066;1.308;17472
2013.02.27;16:00;1.3079;1.313;1.3072;1.3098;19201
2013.02.27;20:00;1.31;1.3146;1.3083;1.3136;7978
2013.02.28;00:00;1.3135;1.3161;1.3128;1.3151;5801
2013.02.28;04:00;1.315;1.3157;1.3138;1.3147;3877
2013.02.28;08:00;1.3148;1.3151;1.3105;1.3118;9693
2013.02.28;12:00;1.3119;1.3137;1.3095;1.3117;11360
2013.02.28;16:00;1.3118;1.3123;1.3057;1.3083;14428
2013.02.28;20:00;1.3084;1.3091;1.3052;1.3055;8818
2013.03.01;00:00;1.3056;1.3072;1.3052;1.3071;7033
2013.03.01;04:00;1.307;1.3083;1.3067;1.3081;3553
2013.03.01;08:00;1.3082;1.3101;1.3032;1.3038;18242
2013.03.01;12:00;1.3037;1.3047;1.2985;1.3005;22379
2013.03.01;16:00;1.3006;1.3042;1.2965;1.3039;25397
2013.03.01;20:00;1.304;1.3041;1.3011;1.3022;7022
2013.03.04;00:00;1.3013;1.3031;1.3001;1.3012;5119
2013.03.04;04:00;1.3011;1.3029;1.3007;1.3015;5105
2013.03.04;08:00;1.3014;1.3019;1.2981;1.2988;14244
2013.03.04;12:00;1.2987;1.30172;1.2982;1.30076;13277
2013.03.04;16:00;1.30075;1.30179;1.29847;1.30075;14105
2013.03.04;20:00;1.30075;1.30286;1.3002;1.30247;6596
2013.03.05;00:00;1.30249;1.30401;1.3017;1.30279;8094
2013.03.05;04:00;1.30279;1.30451;1.30223;1.30445;8233
2013.03.05;08:00;1.30446;1.30745;1.30245;1.30612;15820
2013.03.05;12:00;1.30611;1.30631;1.3015;1.30424;13798
2013.03.05;16:00;1.30423;1.30539;1.30099;1.30256;13958
2013.03.05;20:00;1.30255;1.30508;1.30241;1.305;6201
2013.03.06;00:00;1.30502;1.30656;1.30414;1.30628;6458
2013.03.06;04:00;1.30627;1.30684;1.30566;1.30635;5534
2013.03.06;08:00;1.30639;1.30696;1.30313;1.30326;13382
2013.03.06;12:00;1.30326;1.30446;1.30177;1.30319;13808
2013.03.06;16:00;1.30318;1.3034;1.29819;1.29886;16053
2013.03.06;20:00;1.29887;1.29962;1.29641;1.29657;6985
2013.03.07;00:00;1.29655;1.2985;1.29655;1.29841;7859
2013.03.07;04:00;1.29843;1.29961;1.29804;1.29939;2932
2013.03.07;08:00;1.29941;1.30406;1.29841;1.30377;8852
2013.03.07;12:00;1.30381;1.30895;1.29885;1.30708;12205
2013.03.07;16:00;1.30709;1.3116;1.30709;1.30933;10495
2013.03.07;20:00;1.30931;1.31179;1.30931;1.31062;3874
2013.03.08;00:00;1.31063;1.31149;1.30929;1.30945;3927
2013.03.08;04:00;1.30946;1.31009;1.30868;1.30904;3521
2013.03.08;08:00;1.30903;1.31011;1.30798;1.30946;7113
2013.03.08;12:00;1.30947;1.3134;1.2998;1.30008;10389
2013.03.08;16:00;1.3;1.30071;1.29561;1.29909;10241
2013.03.08;20:00;1.29903;1.30167;1.29781;1.30006;3599
2013.03.11;00:00;1.2995;1.30028;1.29791;1.29996;3463
2013.03.11;04:00;1.3;1.30084;1.29939;1.29984;3091
2013.03.11;08:00;1.29985;1.30244;1.29925;1.30024;7738
2013.03.11;12:00;1.30025;1.30085;1.29881;1.29893;7972
2013.03.11;16:00;1.29892;1.30378;1.29872;1.30306;7491
2013.03.11;20:00;1.30304;1.30527;1.30271;1.30453;3840
2013.03.12;00:00;1.30454;1.30454;1.30256;1.30352;3978
2013.03.12;04:00;1.30353;1.30358;1.30229;1.30258;3694
2013.03.12;08:00;1.30257;1.30276;1.29911;1.30126;8683
2013.03.12;12:00;1.30124;1.30741;1.29992;1.30681;10237
2013.03.12;16:00;1.30681;1.30711;1.30144;1.30219;9150
2013.03.12;20:00;1.3022;1.30377;1.30193;1.30269;3737
2013.03.13;00:00;1.30275;1.30386;1.30225;1.30352;3714
2013.03.13;04:00;1.3035;1.30436;1.30325;1.30391;3341
2013.03.13;08:00;1.3039;1.30644;1.30093;1.3021;8606
2013.03.13;12:00;1.30211;1.30299;1.29287;1.29404;11805
2013.03.13;16:00;1.29405;1.29709;1.29236;1.29708;8597
2013.03.13;20:00;1.29706;1.29708;1.29516;1.29598;4128
2013.03.14;00:00;1.29601;1.29809;1.29559;1.29674;3867
2013.03.14;04:00;1.29677;1.29688;1.29433;1.29504;3581
2013.03.14;08:00;1.29501;1.29766;1.29421;1.29528;8344
2013.03.14;12:00;1.29531;1.29581;1.29114;1.29491;10659
2013.03.14;16:00;1.29484;1.3032;1.29404;1.30078;10370
2013.03.14;20:00;1.30079;1.30136;1.29969;1.30021;3954
2013.03.15;00:00;1.30024;1.30216;1.2999;1.30109;3514
2013.03.15;04:00;1.30111;1.30265;1.301;1.30165;3618
2013.03.15;08:00;1.30167;1.3055;1.30103;1.30523;8258
2013.03.15;12:00;1.30522;1.31059;1.30522;1.30637;10814
2013.03.15;16:00;1.30634;1.30862;1.30453;1.30598;9142
2013.03.15;20:00;1.30593;1.30772;1.30502;1.30746;3491
2013.03.18;00:00;1.2915;1.29213;1.28879;1.28979;6524
2013.03.18;04:00;1.28978;1.29114;1.28816;1.2892;4335
2013.03.18;08:00;1.28919;1.2976;1.28902;1.2962;16540
2013.03.18;12:00;1.2961;1.2969;1.2918;1.2935;21011
2013.03.18;16:00;1.2934;1.2995;1.2933;1.2957;20182
2013.03.18;20:00;1.2956;1.2974;1.2923;1.2957;12518
2013.03.19;00:00;1.2958;1.2965;1.2935;1.2957;3475
2013.03.19;04:00;1.2958;1.2969;1.294;1.2943;3214
2013.03.19;08:00;1.2944;1.2961;1.2914;1.2937;7918
2013.03.19;12:00;1.2938;1.296;1.2928;1.295;10468
2013.03.19;16:00;1.2949;1.2956;1.2842;1.2877;17914
2013.03.19;20:00;1.2876;1.2922;1.2854;1.2866;9497
2013.03.20;00:00;1.2867;1.2876;1.2856;1.2875;3408
2013.03.20;04:00;1.2876;1.2878;1.2868;1.2878;2828
2013.03.20;08:00;1.2876;1.2918;1.2873;1.2906;11277
2013.03.20;12:00;1.2907;1.2971;1.2901;1.2946;14387
2013.03.20;16:00;1.2945;1.2972;1.2937;1.2939;10803
2013.03.20;20:00;1.294;1.2978;1.293;1.2943;9263
2013.03.21;00:00;1.2942;1.295;1.2928;1.295;4084
2013.03.21;04:00;1.2949;1.2955;1.2939;1.2943;6267
2013.03.21;08:00;1.2942;1.295;1.2879;1.2909;20711
2013.03.21;12:00;1.2908;1.2931;1.2894;1.2907;23252
2013.03.21;16:00;1.2908;1.2942;1.2881;1.2911;23858
2013.03.21;20:00;1.2912;1.2929;1.2889;1.2893;14192
2013.03.22;00:00;1.2896;1.2914;1.2889;1.291;7243
2013.03.22;04:00;1.2911;1.2924;1.2888;1.2892;3490
2013.03.22;08:00;1.2891;1.2939;1.2887;1.2934;11305
2013.03.22;12:00;1.2935;1.2965;1.2924;1.2948;12841
2013.03.22;16:00;1.2949;1.3008;1.2946;1.2973;14997
2013.03.22;20:00;1.2974;1.3007;1.2972;1.2987;3808
2013.03.25;00:00;1.2963;1.3048;1.2961;1.3034;6122
2013.03.25;04:00;1.3035;1.3041;1.3017;1.3038;3180
2013.03.25;08:00;1.3037;1.3047;1.2983;1.3016;7234
2013.03.25;12:00;1.3017;1.3019;1.2915;1.2939;9801
2013.03.25;16:00;1.2938;1.294;1.2829;1.2877;15380
2013.03.25;20:00;1.2878;1.2878;1.2842;1.2846;7786
2013.03.26;00:00;1.2848;1.2872;1.2847;1.2869;6819
2013.03.26;04:00;1.287;1.2877;1.286;1.2871;4764
2013.03.26;08:00;1.287;1.2885;1.2838;1.2866;13366
2013.03.26;12:00;1.2865;1.2883;1.2844;1.2862;18564
2013.03.26;16:00;1.2861;1.2889;1.2827;1.2853;17423
2013.03.26;20:00;1.2852;1.2863;1.285;1.2855;4993
2013.03.27;00:00;1.2856;1.2866;1.2854;1.2856;4061
2013.03.27;04:00;1.2857;1.2859;1.2837;1.2845;5502
2013.03.27;08:00;1.2846;1.2855;1.2798;1.2801;15626
2013.03.27;12:00;1.28;1.2813;1.2755;1.2766;18965
2013.03.27;16:00;1.2767;1.2789;1.275;1.277;16275
2013.03.27;20:00;1.2771;1.2781;1.2763;1.2778;4528
2013.03.28;00:00;1.2776;1.2785;1.2772;1.2781;3515
2013.03.28;04:00;1.278;1.2794;1.2775;1.279;3850
2013.03.28;08:00;1.2791;1.2814;1.2754;1.2771;11431
2013.03.28;12:00;1.2772;1.2833;1.2771;1.2829;13621
2013.03.28;16:00;1.2828;1.2844;1.2809;1.2818;12966
2013.03.28;20:00;1.2817;1.2828;1.2811;1.2814;5342
2013.03.29;00:00;1.2815;1.2837;1.281;1.2822;7434
2013.03.29;04:00;1.2823;1.2834;1.2797;1.28;5824
2013.03.29;08:00;1.2801;1.2827;1.2792;1.2818;8888
2013.03.29;12:00;1.2819;1.2826;1.2813;1.2814;6464
2013.03.29;16:00;1.2813;1.2823;1.2809;1.2819;5058
2013.03.29;20:00;1.282;1.2824;1.2814;1.2817;3715
2013.04.01;00:00;1.281;1.2812;1.2787;1.2791;3048
2013.04.01;04:00;1.2792;1.2793;1.277;1.2779;6375
2013.04.01;08:00;1.2778;1.2817;1.2778;1.2809;8860
2013.04.01;12:00;1.281;1.2826;1.2801;1.2819;7681
2013.04.01;16:00;1.282;1.2867;1.2812;1.2851;13878
2013.04.01;20:00;1.285;1.2857;1.2843;1.2848;5673
2013.04.02;00:00;1.28484;1.28705;1.28399;1.28664;4429
2013.04.02;04:00;1.28664;1.28775;1.28602;1.28623;4527
2013.04.02;08:00;1.28622;1.2873;1.28279;1.28447;9744
2013.04.02;12:00;1.28448;1.2856;1.28242;1.28325;9782
2013.04.02;16:00;1.28328;1.28461;1.28119;1.28257;9237
2013.04.02;20:00;1.28256;1.28273;1.28086;1.28184;3573
2013.04.03;00:00;1.28184;1.28267;1.28047;1.28072;3661
2013.04.03;04:00;1.28071;1.28082;1.2795;1.28048;4010
2013.04.03;08:00;1.28047;1.28174;1.27898;1.28163;7481
2013.04.03;12:00;1.28162;1.28444;1.28081;1.28381;9920
2013.04.03;16:00;1.28383;1.28639;1.28245;1.28448;9634
2013.04.03;20:00;1.2845;1.28532;1.28404;1.2848;3957
2013.04.04;00:00;1.2848;1.28534;1.284;1.28447;3870
2013.04.04;04:00;1.28448;1.28495;1.2832;1.28333;4132
2013.04.04;08:00;1.28334;1.28439;1.27828;1.27921;11686
2013.04.04;12:00;1.2792;1.28365;1.27454;1.27722;11686
2013.04.04;16:00;1.27724;1.28886;1.27663;1.28765;12361
2013.04.04;20:00;1.28764;1.29487;1.28764;1.29356;6979
2013.04.05;00:00;1.2936;1.29372;1.29215;1.29339;5807
2013.04.05;04:00;1.2934;1.29378;1.29199;1.29266;5522
2013.04.05;08:00;1.29267;1.29317;1.29005;1.29247;8688
2013.04.05;12:00;1.29245;1.3027;1.29129;1.29888;12030
2013.04.05;16:00;1.29889;1.30397;1.29858;1.30103;11504
2013.04.05;20:00;1.30098;1.30252;1.30028;1.30089;4140
2013.04.08;00:00;1.29703;1.3006;1.29696;1.2988;6726
2013.04.08;04:00;1.29881;1.29964;1.2984;1.29864;4028
2013.04.08;08:00;1.29866;1.30185;1.29683;1.30114;8769
2013.04.08;12:00;1.30113;1.30376;1.2993;1.30265;9570
2013.04.08;16:00;1.30266;1.30274;1.29942;1.30087;8358
2013.04.08;20:00;1.30085;1.30193;1.29921;1.30081;4189
2013.04.09;00:00;1.30079;1.30679;1.30074;1.30593;6527
2013.04.09;04:00;1.30591;1.30648;1.30418;1.30425;5389
2013.04.09;08:00;1.30429;1.30519;1.30045;1.3029;9776
2013.04.09;12:00;1.30285;1.30654;1.30227;1.30606;9546
2013.04.09;16:00;1.30605;1.3099;1.30284;1.30819;10798
2013.04.09;20:00;1.30822;1.31029;1.3079;1.30822;4925
2013.04.10;00:00;1.30822;1.30855;1.30746;1.30833;4199
2013.04.10;04:00;1.30833;1.30906;1.30774;1.30873;4601
2013.04.10;08:00;1.30873;1.31214;1.3073;1.31009;8883
2013.04.10;12:00;1.31011;1.31086;1.30643;1.3075;8759
2013.04.10;16:00;1.30743;1.30963;1.30532;1.30612;10673
2013.04.10;20:00;1.30611;1.3072;1.30521;1.30697;4212
2013.04.11;00:00;1.30697;1.3073;1.30431;1.30485;5090
2013.04.11;04:00;1.30485;1.30664;1.30473;1.30642;5117
2013.04.11;08:00;1.3064;1.30922;1.3063;1.30826;8343
2013.04.11;12:00;1.30825;1.31365;1.30757;1.3108;10815
2013.04.11;16:00;1.31081;1.31372;1.30886;1.3123;9606
2013.04.11;20:00;1.31231;1.31262;1.30956;1.30995;4681
2013.04.12;00:00;1.30997;1.31182;1.30984;1.31103;4607
2013.04.12;04:00;1.31103;1.31262;1.31077;1.3117;4152
2013.04.12;08:00;1.3117;1.312;1.30585;1.3063;9342
2013.04.12;12:00;1.30629;1.30745;1.30366;1.30695;11314
